epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,40.606,0.74432,0.91407,0.998,0.49171,0.32,0.28977,0.14736,1.7038,2.2863,1.96968,0.0002576,0.0002576,0.0002576
90,41.034,0.85307,1.08641,1.02571,0.49171,0.32,0.28977,0.14736,1.7038,2.2863,1.96968,0.0002378,0.0002378,0.0002378
91,49.0186,0.67837,1.14896,1.00412,0.49171,0.32,0.28977,0.14736,1.7038,2.2863,1.96968,0.000218,0.000218,0.000218
92,49.5187,0.63367,1.04246,0.95772,0.49269,0.32,0.29979,0.15557,1.71169,2.28615,1.93654,0.0001982,0.0001982,0.0001982
93,49.9958,0.60393,1.12,0.96946,0.49269,0.32,0.29979,0.15557,1.71169,2.28615,1.93654,0.0001784,0.0001784,0.0001784
94,50.4824,0.79386,1.15905,1.03456,0.49269,0.32,0.29979,0.15557,1.71169,2.28615,1.93654,0.0001586,0.0001586,0.0001586
95,50.9695,0.61032,0.97232,0.94269,0.38418,0.48,0.3053,0.15546,1.77453,2.2696,1.95336,0.0001388,0.0001388,0.0001388
96,51.4368,0.69034,1.10053,0.98695,0.38418,0.48,0.3053,0.15546,1.77453,2.2696,1.95336,0.000119,0.000119,0.000119
97,51.9062,0.62891,0.96418,0.95617,0.35048,0.48,0.2909,0.14773,1.76192,2.23588,1.94531,9.92e-05,9.92e-05,9.92e-05
98,52.3476,0.64169,1.11895,0.97236,0.35048,0.48,0.2909,0.14773,1.76192,2.23588,1.94531,7.94e-05,7.94e-05,7.94e-05
99,52.8022,0.64855,1.07365,1.0422,0.35048,0.48,0.2909,0.14773,1.76192,2.23588,1.94531,5.96e-05,5.96e-05,5.96e-05
100,53.2747,0.64303,1.00323,0.98264,0.37474,0.48,0.28246,0.14281,1.71483,2.21069,1.92935,3.98e-05,3.98e-05,3.98e-05
